time,Msun,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z,Pluto_x,Pluto_y,Pluto_z,Luna_x,Luna_y,Luna_z
1,2,-0.006214,-0.004629,0.0001872,-0.1035,-0.4595,-0.02806,0.3697,-0.6272,-0.03005,0.8501,0.5012,0.0001539,0.3886,1.476,0.02153,1.56,4.807,-0.05485,9.398,-2.146,-0.3369,11.32,15.95,-0.08746,29.87,-0.8574,-0.6707,18.03,-30.08,-1.997,0.8491,0.5035,0.000376
2,2,-0.006207,-0.004633,0.0001871,-0.08105,-0.4613,-0.03027,0.3863,-0.6158,-0.03085,0.8406,0.5156,0.0001533,0.3756,1.481,0.02194,1.553,4.81,-0.05469,9.399,-2.141,-0.337,11.32,15.95,-0.08741,29.87,-0.8543,-0.6708,18.03,-30.08,-1.998,0.839,0.5177,0.0003554
3,2,-0.0062,-0.004637,0.000187,-0.05815,-0.4604,-0.03229,0.4023,-0.6036,-0.03161,0.8305,0.5297,0.0001528,0.3625,1.485,0.02236,1.546,4.812,-0.05454,9.4,-2.136,-0.3371,11.32,15.95,-0.08736,29.87,-0.8511,-0.6709,18.04,-30.08,-1.999,0.8286,0.5314,0.0003242
4,2,-0.006194,-0.004642,0.0001869,-0.03494,-0.4567,-0.03412,0.4177,-0.5903,-0.03231,0.82,0.5436,0.0001524,0.3493,1.489,0.02277,1.538,4.815,-0.05439,9.401,-2.13,-0.3373,11.31,15.95,-0.08732,29.87,-0.848,-0.6709,18.04,-30.07,-2,0.8177,0.5447,0.0002841
5,2,-0.006187,-0.004646,0.0001868,-0.01155,-0.4502,-0.03573,0.4324,-0.5762,-0.03297,0.8089,0.557,0.0001521,0.3361,1.493,0.02317,1.531,4.818,-0.05424,9.402,-2.125,-0.3374,11.31,15.95,-0.08727,29.87,-0.8448,-0.671,18.04,-30.07,-2.001,0.8064,0.5577,0.0002372
6,2,-0.00618,-0.004651,0.0001867,0.01188,-0.4407,-0.03711,0.4464,-0.5612,-0.03357,0.7974,0.5702,0.000152,0.3228,1.496,0.02357,1.524,4.82,-0.05409,9.403,-2.119,-0.3375,11.31,15.96,-0.08722,29.87,-0.8416,-0.6711,18.05,-30.07,-2.002,0.7948,0.5703,0.0001859
7,2,-0.006173,-0.004655,0.0001866,0.03517,-0.4282,-0.03822,0.4597,-0.5453,-0.03412,0.7853,0.5829,0.0001518,0.3094,1.5,0.02397,1.516,4.823,-0.05393,9.404,-2.114,-0.3377,11.3,15.96,-0.08717,29.87,-0.8385,-0.6711,18.05,-30.07,-2.003,0.7828,0.5825,0.0001328
8,2,-0.006166,-0.00466,0.0001865,0.05815,-0.4124,-0.03903,0.4722,-0.5285,-0.03461,0.7728,0.5954,0.0001517,0.296,1.503,0.02436,1.509,4.825,-0.05378,9.405,-2.108,-0.3378,11.3,15.96,-0.08712,29.87,-0.8353,-0.6712,18.05,-30.07,-2.004,0.7705,0.5943,8.08e-05
9,2,-0.00616,-0.004664,0.0001864,0.0806,-0.3932,-0.03953,0.484,-0.5108,-0.03505,0.7597,0.6074,0.0001515,0.2826,1.506,0.02475,1.502,4.828,-0.05363,9.406,-2.103,-0.3379,11.3,15.96,-0.08707,29.87,-0.8322,-0.6713,18.05,-30.07,-2.005,0.7578,0.6059,3.286e-05
10,2,-0.006153,-0.004668,0.0001863,0.1022,-0.3705,-0.03965,0.4949,-0.4923,-0.03542,0.7462,0.6191,0.0001513,0.2691,1.508,0.02514,1.495,4.83,-0.05347,9.406,-2.098,-0.338,11.29,15.97,-0.08702,29.87,-0.829,-0.6713,18.06,-30.07,-2.005,0.7447,0.6171,-8.039e-06
11,2,-0.006146,-0.004673,0.0001862,0.1227,-0.3439,-0.03936,0.505,-0.473,-0.03574,0.7322,0.6303,0.0001509,0.2556,1.51,0.02552,1.487,4.833,-0.05332,9.407,-2.092,-0.3382,11.29,15.97,-0.08697,29.87,-0.8259,-0.6714,18.06,-30.07,-2.006,0.7312,0.6281,-3.922e-05
12,2,-0.006139,-0.004677,0.0001861,0.1416,-0.3132,-0.03858,0.5141,-0.4528,-0.03599,0.7178,0.6412,0.0001505,0.242,1.513,0.02589,1.48,4.835,-0.05316,9.408,-2.087,-0.3383,11.29,15.97,-0.08692,29.87,-0.8227,-0.6715,18.06,-30.07,-2.007,0.7174,0.6388,-5.848e-05
13,2,-0.006132,-0.004681,0.000186,0.1584,-0.278,-0.03724,0.5223,-0.4318,-0.03617,0.7028,0.6516,0.0001499,0.2284,1.514,0.02627,1.473,4.838,-0.05301,9.409,-2.081,-0.3384,11.28,15.97,-0.08687,29.87,-0.8195,-0.6715,18.06,-30.07,-2.008,0.7031,0.6492,-6.434e-05
14,2,-0.006125,-0.004686,0.0001858,0.1722,-0.2379,-0.03523,0.5295,-0.41,-0.03629,0.6874,0.6616,0.0001492,0.2147,1.516,0.02664,1.465,4.84,-0.05286,9.41,-2.076,-0.3386,11.28,15.97,-0.08682,29.87,-0.8164,-0.6716,18.07,-30.07,-2.009,0.6883,0.6594,-5.616e-05
15,2,-0.006118,-0.00469,0.0001857,0.1818,-0.1925,-0.0324,0.5357,-0.3874,-0.03634,0.6716,0.6712,0.0001483,0.201,1.517,0.027,1.458,4.842,-0.0527,9.411,-2.07,-0.3387,11.28,15.98,-0.08677,29.87,-0.8132,-0.6717,18.07,-30.06,-2.01,0.6729,0.6692,-3.425e-05
16,2,-0.006112,-0.004694,0.0001856,0.1856,-0.1412,-0.02856,0.5408,-0.3641,-0.03631,0.6552,0.6803,0.0001473,0.1873,1.518,0.02736,1.45,4.845,-0.05255,9.412,-2.065,-0.3388,11.27,15.98,-0.08672,29.87,-0.8101,-0.6717,18.07,-30.06,-2.011,0.6571,0.6788,8.479e-08
17,2,-0.006105,-0.004699,0.0001855,0.1807,-0.08404,-0.02343,0.5447,-0.34,-0.0362,0.6385,0.6889,0.0001462,0.1736,1.519,0.02772,1.443,4.847,-0.05239,9.412,-2.059,-0.3389,11.27,15.98,-0.08667,29.87,-0.8069,-0.6718,18.08,-30.06,-2.012,0.6406,0.6879,4.465e-05
18,2,-0.006098,-0.004703,0.0001854,0.1626,-0.02156,-0.01667,0.5475,-0.3151,-0.03602,0.6213,0.697,0.0001451,0.1598,1.52,0.02807,1.436,4.849,-0.05224,9.413,-2.054,-0.3391,11.27,15.98,-0.08662,29.87,-0.8038,-0.6719,18.08,-30.06,-2.013,0.6236,0.6967,9.639e-05
19,2,-0.006091,-0.004707,0.0001853,0.1242,0.04222,-0.00793,0.5489,-0.2896,-0.03575,0.6036,0.7047,0.0001439,0.146,1.52,0.02841,1.428,4.852,-0.05208,9.414,-2.049,-0.3392,11.26,15.98,-0.08657,29.87,-0.8006,-0.6719,18.08,-30.06,-2.014,0.6059,0.705,0.0001516
20,2,-0.006084,-0.004711,0.0001852,0.05799,0.0943,0.002399,0.549,-0.2633,-0.03539,0.5855,0.7118,0.0001428,0.1321,1.52,0.02875,1.421,4.854,-0.05192,9.415,-2.043,-0.3393,11.26,15.99,-0.08652,29.87,-0.7975,-0.672,18.08,-30.06,-2.014,0.5876,0.7127,0.0002064
21,2,-0.006077,-0.004716,0.0001851,-0.02872,0.1126,0.01185,0.5477,-0.2364,-0.03495,0.567,0.7184,0.0001417,0.1183,1.52,0.02909,1.413,4.856,-0.05177,9.416,-2.038,-0.3395,11.26,15.99,-0.08647,29.87,-0.7943,-0.6721,18.09,-30.06,-2.015,0.5688,0.7199,0.0002566
22,2,-0.00607,-0.00472,0.000185,-0.1096,0.09295,0.01766,0.5448,-0.2089,-0.03441,0.548,0.7245,0.0001408,0.1044,1.52,0.02942,1.406,4.858,-0.05161,9.416,-2.032,-0.3396,11.25,15.99,-0.08642,29.87,-0.7911,-0.6721,18.09,-30.06,-2.016,0.5494,0.7264,0.0002988
