time,Msun,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z,Pluto_x,Pluto_y,Pluto_z
1,1,-0.006633,-0.004329,0.0001934,0.3443,-0.1607,-0.04477,-0.6819,-0.2559,0.0357,0.8573,-0.5306,0.0002181,1.095,0.9409,-0.007031,2.012,4.615,-0.06415,9.333,-2.488,-0.3283,11.53,15.81,-0.0906,29.87,-1.057,-0.6665,17.86,-30.14,-1.94
2,1.007,-0.006627,-0.004334,0.0001933,0.3493,-0.1334,-0.043,-0.6747,-0.2749,0.03503,0.8658,-0.5159,0.0002172,1.087,0.9526,-0.006573,2.005,4.618,-0.06401,9.334,-2.483,-0.3285,11.52,15.81,-0.09055,29.87,-1.054,-0.6666,17.86,-30.13,-1.941
3,1.013,-0.00662,-0.004339,0.0001932,0.3524,-0.1053,-0.04099,-0.667,-0.2936,0.03432,0.8741,-0.501,0.0002162,1.078,0.9643,-0.006114,1.998,4.622,-0.06387,9.335,-2.478,-0.3286,11.52,15.82,-0.0905,29.87,-1.051,-0.6666,17.86,-30.13,-1.942
4,1.02,-0.006614,-0.004344,0.0001931,0.3535,-0.07669,-0.03875,-0.6587,-0.3121,0.03359,0.8822,-0.486,0.0002152,1.069,0.9759,-0.005654,1.991,4.625,-0.06373,9.337,-2.472,-0.3287,11.52,15.82,-0.09045,29.87,-1.048,-0.6667,17.86,-30.13,-1.943
5,1.026,-0.006607,-0.004349,0.000193,0.3524,-0.04764,-0.03627,-0.65,-0.3304,0.03284,0.8899,-0.4709,0.0002142,1.06,0.9874,-0.005194,1.984,4.629,-0.06358,9.338,-2.467,-0.3289,11.51,15.82,-0.0904,29.87,-1.044,-0.6668,17.87,-30.13,-1.944
6,1.033,-0.006601,-0.004354,0.000193,0.3491,-0.01831,-0.03357,-0.6407,-0.3484,0.03205,0.8975,-0.4556,0.0002132,1.051,0.9988,-0.004734,1.977,4.632,-0.06344,9.339,-2.461,-0.329,11.51,15.82,-0.09035,29.87,-1.041,-0.6668,17.87,-30.13,-1.945
7,1.039,-0.006594,-0.004359,0.0001929,0.3433,0.0111,-0.03064,-0.6308,-0.3661,0.03124,0.9047,-0.4402,0.0002122,1.042,1.01,-0.004273,1.97,4.635,-0.0633,9.34,-2.456,-0.3292,11.51,15.83,-0.0903,29.87,-1.038,-0.6669,17.87,-30.13,-1.946
8,1.046,-0.006588,-0.004364,0.0001928,0.3351,0.04041,-0.02749,-0.6205,-0.3835,0.03041,0.9117,-0.4247,0.0002112,1.033,1.021,-0.003811,1.963,4.638,-0.06315,9.341,-2.451,-0.3293,11.5,15.83,-0.09025,29.87,-1.035,-0.667,17.88,-30.13,-1.947
9,1.053,-0.006581,-0.004369,0.0001927,0.3243,0.06938,-0.02413,-0.6097,-0.4006,0.02955,0.9184,-0.409,0.0002102,1.024,1.032,-0.003349,1.956,4.642,-0.06301,9.342,-2.445,-0.3294,11.5,15.83,-0.09021,29.87,-1.032,-0.667,17.88,-30.13,-1.947
10,1.059,-0.006575,-0.004374,0.0001926,0.3108,0.09776,-0.02058,-0.5983,-0.4174,0.02866,0.9248,-0.3932,0.0002092,1.014,1.043,-0.002887,1.949,4.645,-0.06286,9.343,-2.44,-0.3296,11.5,15.83,-0.09016,29.87,-1.029,-0.6671,17.88,-30.13,-1.948
11,1.066,-0.006568,-0.004379,0.0001925,0.2947,0.1253,-0.01685,-0.5865,-0.4338,0.02776,0.9309,-0.3773,0.0002082,1.004,1.054,-0.002424,1.942,4.648,-0.06272,9.344,-2.435,-0.3297,11.49,15.83,-0.09011,29.87,-1.026,-0.6672,17.88,-30.13,-1.949
12,1.072,-0.006562,-0.004384,0.0001924,0.276,0.1516,-0.01297,-0.5742,-0.4499,0.02683,0.9368,-0.3613,0.0002071,0.9948,1.065,-0.001961,1.934,4.652,-0.06258,9.345,-2.429,-0.3299,11.49,15.84,-0.09006,29.87,-1.022,-0.6672,17.89,-30.13,-1.95
13,1.079,-0.006555,-0.004389,0.0001923,0.2545,0.1765,-0.008969,-0.5614,-0.4655,0.02587,0.9423,-0.3452,0.0002061,0.9851,1.076,-0.001498,1.927,4.655,-0.06243,9.346,-2.424,-0.33,11.49,15.84,-0.09001,29.87,-1.019,-0.6673,17.89,-30.12,-1.951
14,1.086,-0.006549,-0.004394,0.0001922,0.2304,0.1996,-0.004876,-0.5481,-0.4808,0.0249,0.9476,-0.329,0.0002051,0.9752,1.086,-0.001035,1.92,4.658,-0.06229,9.348,-2.418,-0.3301,11.48,15.84,-0.08996,29.87,-1.016,-0.6674,17.89,-30.12,-1.952
15,1.092,-0.006542,-0.004399,0.0001921,0.2039,0.2205,-0.0007303,-0.5344,-0.4957,0.0239,0.9525,-0.3126,0.000204,0.9652,1.097,-0.0005713,1.913,4.661,-0.06214,9.349,-2.413,-0.3303,11.48,15.84,-0.08991,29.87,-1.013,-0.6674,17.89,-30.12,-1.953
16,1.099,-0.006536,-0.004403,0.000192,0.175,0.2389,0.003426,-0.5202,-0.5102,0.02288,0.9572,-0.2962,0.000203,0.9551,1.107,-0.0001078,1.906,4.664,-0.062,9.35,-2.408,-0.3304,11.48,15.84,-0.08986,29.87,-1.01,-0.6675,17.9,-30.12,-1.954
17,1.105,-0.006529,-0.004408,0.0001919,0.144,0.2545,0.007543,-0.5055,-0.5242,0.02185,0.9615,-0.2797,0.0002019,0.945,1.117,0.0003558,1.899,4.668,-0.06185,9.351,-2.402,-0.3305,11.48,15.85,-0.08981,29.87,-1.007,-0.6676,17.9,-30.12,-1.955
18,1.112,-0.006522,-0.004413,0.0001918,0.1112,0.267,0.01157,-0.4905,-0.5378,0.02079,0.9656,-0.263,0.0002009,0.9347,1.127,0.0008193,1.892,4.671,-0.06171,9.352,-2.397,-0.3307,11.47,15.85,-0.08976,29.87,-1.003,-0.6676,17.9,-30.12,-1.956
19,1.118,-0.006516,-0.004418,0.0001917,0.0769,0.276,0.01545,-0.475,-0.5509,0.01972,0.9693,-0.2463,0.0001998,0.9243,1.137,0.001283,1.885,4.674,-0.06156,9.353,-2.391,-0.3308,11.47,15.85,-0.08971,29.87,-1,-0.6677,17.91,-30.12,-1.956
20,1.125,-0.006509,-0.004423,0.0001916,0.04149,0.2813,0.01914,-0.459,-0.5635,0.01862,0.9727,-0.2296,0.0001987,0.9139,1.147,0.001746,1.878,4.677,-0.06142,9.354,-2.386,-0.3309,11.47,15.85,-0.08966,29.87,-0.9971,-0.6678,17.91,-30.12,-1.957
21,1.132,-0.006503,-0.004428,0.0001915,0.005432,0.2827,0.02256,-0.4427,-0.5756,0.01752,0.9758,-0.2127,0.0001977,0.9033,1.157,0.002209,1.871,4.68,-0.06127,9.355,-2.381,-0.3311,11.46,15.86,-0.08961,29.87,-0.994,-0.6678,17.91,-30.12,-1.958
22,1.138,-0.006496,-0.004433,0.0001914,-0.03079,0.2801,0.02567,-0.426,-0.5872,0.01639,0.9785,-0.1958,0.0001966,0.8927,1.166,0.002672,1.864,4.684,-0.06112,9.356,-2.375,-0.3312,11.46,15.86,-0.08956,29.87,-0.9908,-0.6679,17.91,-30.12,-1.959
23,1.145,-0.00649,-0.004437,0.0001913,-0.06667,0.2734,0.02841,-0.4089,-0.5983,0.01525,0.9809,-0.1788,0.0001955,0.8819,1.176,0.003135,1.857,4.687,-0.06098,9.357,-2.37,-0.3314,11.46,15.86,-0.08951,29.87,-0.9877,-0.668,17.92,-30.11,-1.96
24,1.151,-0.006483,-0.004442,0.0001912,-0.1017,0.2626,0.03075,-0.3914,-0.6088,0.0141,0.983,-0.1617,0.0001945,0.8711,1.185,0.003597,1.849,4.69,-0.06083,9.358,-2.364,-0.3315,11.45,15.86,-0.08946,29.87,-0.9845,-0.668,17.92,-30.11,-1.961
25,1.158,-0.006477,-0.004447,0.0001911,-0.1353,0.248,0.03263,-0.3736,-0.6188,0.01294,0.9848,-0.1447,0.0001934,0.8601,1.194,0.004059,1.842,4.693,-0.06069,9.359,-2.359,-0.3316,11.45,15.86,-0.08941,29.87,-0.9814,-0.6681,17.92,-30.11,-1.962
26,1.164,-0.00647,-0.004452,0.000191,-0.167,0.2296,0.03404,-0.3554,-0.6282,0.01176,0.9862,-0.1275,0.0001923,0.8491,1.204,0.004521,1.835,4.696,-0.06054,9.36,-2.354,-0.3318,11.45,15.87,-0.08936,29.87,-0.9782,-0.6682,17.93,-30.11,-1.963
27,1.171,-0.006463,-0.004457,0.0001909,-0.1963,0.2078,0.03494,-0.3369,-0.6369,0.01057,0.9873,-0.1103,0.0001913,0.838,1.213,0.004982,1.828,4.699,-0.06039,9.361,-2.348,-0.3319,11.44,15.87,-0.08931,29.87,-0.975,-0.6682,17.93,-30.11,-1.964
28,1.178,-0.006457,-0.004461,0.0001908,-0.2228,0.1828,0.03534,-0.3181,-0.6451,0.009375,0.988,-0.09309,0.0001902,0.8268,1.221,0.005443,1.821,4.702,-0.06025,9.362,-2.343,-0.332,11.44,15.87,-0.08926,29.87,-0.9719,-0.6683,17.93,-30.11,-1.965
29,1.184,-0.00645,-0.004466,0.0001907,-0.2462,0.1551,0.03522,-0.299,-0.6527,0.008168,0.9884,-0.07583,0.0001891,0.8155,1.23,0.005903,1.814,4.705,-0.0601,9.363,-2.337,-0.3322,11.44,15.87,-0.08921,29.87,-0.9687,-0.6684,17.93,-30.11,-1.966
30,1.191,-0.006444,-0.004471,0.0001906,-0.2661,0.1251,0.0346,-0.2796,-0.6596,0.006954,0.9884,-0.05855,0.0001881,0.8041,1.239,0.006362,1.807,4.708,-0.05995,9.364,-2.332,-0.3323,11.43,15.87,-0.08916,29.87,-0.9656,-0.6684,17.94,-30.11,-1.966
31,1.197,-0.006437,-0.004476,0.0001905,-0.2824,0.09328,0.03349,-0.2599,-0.6659,0.005732,0.9881,-0.04125,0.000187,0.7926,1.247,0.006821,1.8,4.711,-0.0598,9.366,-2.327,-0.3324,11.43,15.88,-0.08912,29.87,-0.9624,-0.6685,17.94,-30.11,-1.967
32,1.204,-0.00643,-0.00448,0.0001904,-0.2949,0.0601,0.03192,-0.24,-0.6716,0.004506,0.9874,-0.02393,0.0001859,0.7811,1.256,0.007279,1.792,4.714,-0.05966,9.367,-2.321,-0.3326,11.43,15.88,-0.08907,29.87,-0.9593,-0.6686,17.94,-30.11,-1.968
