time,Msun,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z,Pluto_x,Pluto_y,Pluto_z
1,1,-0.006633,-0.004329,0.0001934,0.3443,-0.1607,-0.04477,-0.6819,-0.2559,0.0357,0.8573,-0.5306,0.0002181,1.095,0.9409,-0.007031,2.012,4.615,-0.06415,9.333,-2.488,-0.3283,11.53,15.81,-0.0906,29.87,-1.057,-0.6665,17.86,-30.14,-1.94
2,1.027,-0.006627,-0.004334,0.0001933,0.3493,-0.1333,-0.04299,-0.6747,-0.2749,0.03503,0.8658,-0.5159,0.0002172,1.087,0.9526,-0.006573,2.005,4.618,-0.06401,9.334,-2.483,-0.3285,11.52,15.81,-0.09055,29.87,-1.054,-0.6666,17.86,-30.13,-1.941
3,1.054,-0.00662,-0.004339,0.0001932,0.3523,-0.1053,-0.04098,-0.667,-0.2936,0.03432,0.8741,-0.501,0.0002162,1.078,0.9643,-0.006114,1.998,4.622,-0.06387,9.335,-2.478,-0.3286,11.52,15.82,-0.0905,29.87,-1.051,-0.6666,17.86,-30.13,-1.942
4,1.081,-0.006614,-0.004344,0.0001931,0.3532,-0.0766,-0.03872,-0.6587,-0.3121,0.03359,0.8821,-0.486,0.0002152,1.069,0.9759,-0.005654,1.991,4.625,-0.06373,9.337,-2.472,-0.3287,11.52,15.82,-0.09045,29.87,-1.048,-0.6667,17.86,-30.13,-1.943
5,1.109,-0.006607,-0.004349,0.000193,0.3518,-0.04746,-0.0362,-0.6498,-0.3303,0.03283,0.8899,-0.4708,0.0002142,1.06,0.9873,-0.005194,1.984,4.629,-0.06358,9.338,-2.467,-0.3289,11.51,15.82,-0.0904,29.87,-1.044,-0.6668,17.87,-30.13,-1.944
6,1.136,-0.006601,-0.004354,0.000193,0.3479,-0.01802,-0.03344,-0.6404,-0.3482,0.03204,0.8973,-0.4555,0.0002132,1.051,0.9987,-0.004733,1.977,4.632,-0.06344,9.339,-2.461,-0.329,11.51,15.82,-0.09035,29.87,-1.041,-0.6668,17.87,-30.13,-1.945
7,1.163,-0.006594,-0.004359,0.0001929,0.3413,0.01152,-0.03042,-0.6303,-0.3659,0.03122,0.9045,-0.4401,0.0002122,1.042,1.01,-0.004272,1.97,4.635,-0.0633,9.34,-2.456,-0.3292,11.51,15.83,-0.0903,29.87,-1.038,-0.6669,17.87,-30.13,-1.946
8,1.19,-0.006588,-0.004364,0.0001928,0.3319,0.04092,-0.02715,-0.6198,-0.3831,0.03037,0.9113,-0.4245,0.0002112,1.033,1.021,-0.00381,1.963,4.638,-0.06315,9.341,-2.451,-0.3293,11.5,15.83,-0.09025,29.87,-1.035,-0.667,17.88,-30.13,-1.947
9,1.217,-0.006581,-0.004369,0.0001927,0.3195,0.06992,-0.02364,-0.6086,-0.4001,0.02949,0.9178,-0.4087,0.0002102,1.023,1.032,-0.003348,1.956,4.642,-0.06301,9.342,-2.445,-0.3294,11.5,15.83,-0.09021,29.87,-1.032,-0.667,17.88,-30.13,-1.947
10,1.244,-0.006575,-0.004374,0.0001926,0.3039,0.0982,-0.0199,-0.5968,-0.4166,0.02859,0.924,-0.3928,0.0002092,1.014,1.043,-0.002885,1.949,4.645,-0.06286,9.343,-2.44,-0.3296,11.5,15.83,-0.09016,29.87,-1.029,-0.6671,17.88,-30.13,-1.948
